Recipient,Amount,Purpose
FEDEX,$499,POSTAGE
ANEDOT,$10,PROCESSINGFEES
"EPAYBUSINESSSOLUTIONS,INC.",$20836,PAYROLLTAXES
SOUTHWESTAIRLINES,$392,TRAVELAIRFARE
"EPAYBUSINESSSOLUTIONS,INC.",$20298,PAYROLLTAXES
XEROXCORPORATION,$196,PRINTINGANDCOPYING
RINGCENTRALINC,$317,NETWORKANDSUPPORT
COSTCOBYINSTACART,$131,OFFICESUPPLIES
THOMPSONGREENSPON,$13698,ACCOUNTING
THEUMSTEADHOTEL,$1177,LODGING
HELLONASHVILLE,$28265,TRAVELGROUNDTRANSPORTATION
CLAPPINGMONKEY,$1158,EVENTSUPPLIES
THEROOSEVELTHOTEL,$139,MEETINGEXPENSE
THEHARTFORD,$4380,INSURANCE
DCHEALTHLINK,$7482,INSURANCE
THOMPSONGREENSPON,$7725,ACCOUNTING
"EPAYBUSINESSSOLUTIONS,INC.",$20295,PAYROLLTAXES
DELTAAIRLINES,$2939,TRAVELAIRFARE
"REYES,SEAN",$1926,REIMBURSEMENTTRAVEL
LEXISNEXIS,$15109,DATABASESERVICES
AMAZON.COM,$843,OFFICESUPPLIES
GUARDIANLIFEINSURANCEOFAMERICA,$1581,INSURANCE
"YUMASOLUTIONS,INC.",$1050,ITCONSULTING
AMERICANAIRLINES,$4532,TRAVELAIRFARE
"COGENTCOMMUNICATIONS,INC.",$780,INTERNETSERVICE
CLAPPINGMONKEY,$1160,EVENTSUPPLIES
"EPAYBUSINESSSOLUTIONS,INC.",$37735,PAYROLL
"COGENTCOMMUNICATIONS,INC.",$780,INTERNETSERVICE
BRASSFIELDLLC,$3000,EVENTENTERTAINMENT
TIPTOPATTRACTIONS,$800,EVENTEXPENSE
AMAZON.COM,$1051,EVENTSUPPLIES
THEGRANDHOTEL,$14929,EVENTTRANSPORTATION
ACQUIREDIGITAL,$2500,DIGITALCONSULTING
TRANSAMERICARETIREMENTSOLUTIONS,$3108,EMPLOYEEBENEFIT
VERIZON,$683,TELEPHONE
NEWORLEANSSCHOOLOFCOOKING,$500,EVENTACTIVITIES
TRANSAMERICARETIREMENTSOLUTIONS,$3108,EMPLOYEEBENEFIT
"YUMASOLUTIONS,INC.",$1042,ITCONSULTING
CARROLLTRAVEL,$9486,TRAVELAIRFARE
HALLSCHOPHOUSE,$30502,EVENTFOODANDBEVERAGE
MARDIGRASWORLD,$1166,EVENTACTIVITIES
SIRSPEEDY,$198,OFFICESUPPLIES
UBER,$1350,TRAVELGROUNDTRANSPORTATION
GAYLORDOPRYLAND,$43524,EVENTFOODANDBEVERAGE
FEDEX,$908,POSTAGE
CARROLLTRAVEL,$2717,TRAVELAIRFARE
TRANSAMERICARETIREMENTSOLUTIONS,$625,EMPLOYEEBENEFIT
AMAZON.COM,$514,OFFICESUPPLIES
ANEDOT,$20,PROCESSINGFEES
"EPAYBUSINESSSOLUTIONS,INC.",$401,PAYROLLFEE
TRANSAMERICARETIREMENTSOLUTIONS,$3215,EMPLOYEEBENEFIT
BANKOFAMERICA,$3378,MERCHANTFEES
TRANSAMERICARETIREMENTSOLUTIONS,$3099,EMPLOYEEBENEFIT
REI,$2590,EVENTSUPPLIES
VERIZON,$650,TELEPHONE
ANEDOT,$8,PROCESSINGFEES
