Recipient,Amount,Purpose
FEDEX,$499,POSTAGE
ANEDOT,$10,PROCESSINGFEES
"EPAYBUSINESSSOLUTIONS,INC.",$20836,PAYROLLTAXES
SOUTHWESTAIRLINES,$392,TRAVELAIRFARE
"EPAYBUSINESSSOLUTIONS,INC.",$20298,PAYROLLTAXES
XEROXCORPORATION,$196,PRINTINGANDCOPYING
RINGCENTRALINC,$317,NETWORKANDSUPPORT
COSTCOBYINSTACART,$131,OFFICESUPPLIES
THOMPSONGREENSPON,$13698,ACCOUNTING
THEUMSTEADHOTEL,$1177,LODGING
HELLONASHVILLE,$28265,TRAVELGROUNDTRANSPORTATION
CLAPPINGMONKEY,$1158,EVENTSUPPLIES
THEROOSEVELTHOTEL,$139,MEETINGEXPENSE
THEHARTFORD,$4380,INSURANCE
DCHEALTHLINK,$7482,INSURANCE
THOMPSONGREENSPON,$7725,ACCOUNTING
"EPAYBUSINESSSOLUTIONS,INC.",$20295,PAYROLLTAXES
DELTAAIRLINES,$2939,TRAVELAIRFARE
"REYES,SEAN",$1926,REIMBURSEMENTTRAVEL
